itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
156.888UK,CLIP10- STC,10 Clips Short/Tall Crown Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,10+,2.99,https://www.avsl.com/assets/images/1/5/156888UK_CO1.jpg,
156.889UK,CLIP10- WC,10 Clips Wide Crown Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,100+,2.99,https://www.avsl.com/assets/images/1/5/156889UK_CO1.jpg,
156.892UK,CLIP10- IP68,10 Clips IP68 Short Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,10+,2.99,https://www.avsl.com/assets/images/1/5/156892UK_CO1.jpg,
156.894UK,CLIP10-B,10 Clips Box Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,100+,2.99,https://www.avsl.com/assets/images/1/5/156894UK_CO1.jpg,
156.897UK,CLIP10- D2W,10 Clips Dado/2-Way Bar Profile,10 Clips for LED Tape Profile,Additional clips to suit the requirements of each specific aluminium profile. Allowing you to clip the neat profile to multiple surfaces to create different effects either by changing the direction or length of the profile giving it more flexibility in its application. The clips will also enhance the durability of the profile ensuring they are in fixed positions.,Easy to fit[br]Specific to profiles,,,LYYT,0.02,20/07/2023 8:42,1200,"13,647,221,200",LED Tape -> LED Tape Profiles -> Accessories,led-tape/led-tape-profiles/accessories,100+,2.99,https://www.avsl.com/assets/images/1/5/156897UK_CO1.jpg,
156.905UK,AL1-A1818C,Aluminium LED Tape Profile 45° Angle 1m Clear,Aluminium LED Tape Profile - Angle 45° - Transparent Capping,Extruded aluminium angle section profile with clear cover and fitting accessories for LED tape installation. Ideal for illuminating corners and architectural details.,Supplied complete with installation accessories,External cross-section[tab]19 x 19mm[br]Internal cross-section[tab]11 x 9mm[br]Clear cover visible width[tab]11mm,Length[tab]2m,LYYT,0.61,19/08/2020 15:44,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,10+,10.99,https://www.avsl.com/assets/images/1/5/156905UK_LD1.jpg,https://www.avsl.com/assets/images/1/5/156905UK_CO1.JPG
156.907UK,AL1-C1709C,Aluminium LED Tape Profile Short Crown 1m Clear,Aluminium LED Tape Profile - Short Crown - Transparent Capping,Extruded aluminium short section profile with crowned clear cover and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,Supplied complete with installation accessories[br]Easy snap-fit clear cover,External cross-section[tab]18 x 9mm[br]Internal cross-section[tab]12 x 6mm[br]Clear cover visible width[tab]14mm,Length[tab]1m,LYYT,0.14,19/08/2020 15:47,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,100+,8.49,https://www.avsl.com/assets/images/1/5/156907UK_LD1.png,https://www.avsl.com/assets/images/1/5/156907UK_CO1.jpg
156.909UK,AL1-C2311C,Aluminium LED Tape Profile Wide Crown 1m Clear,Aluminium LED Tape Profile - Wide Crown - Transparent Capping,Extruded aluminium wide section profile with crowned clear cover and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,Supplied complete with installation accessories[br]Easy snap-fit clear cover,External cross-section[tab]24 x 11mm[br]Internal cross-section[tab]20 x 7mm[br]Clear cover visible width[tab]21mm,Length[tab]1m,LYYT,0.31,19/08/2020 15:57,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,10+,10.99,https://www.avsl.com/assets/images/1/5/156909UK_LD1.png,
156.917UK,AL2-C1709C,Aluminium LED Tape Profile Short Crown 2m Clear,Aluminium LED Tape Profile - Short Crown - Transparent Capping,Extruded aluminium short section profile with crowned clear cover and fitting accessories for LED tape installation. Ideal for illuminating furniture and architectural details.,Supplied complete with installation accessories[br]Easy snap-fit clear cover,External cross-section[tab]18 x 9mm[br]Internal cross-section[tab]12 x 6mm[br]Clear cover visible width[tab]14mm,Length[tab]2m,LYYT,0.28,19/08/2020 15:47,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,10+,15.99,https://www.avsl.com/assets/images/1/5/156917UK_LD1.png,https://www.avsl.com/assets/images/1/5/156917UK_CO1.jpg
156.921UK,AL1-F2520C,Aluminium LED Profile T Insert 1m - Clear Cover,Aluminium LED Tape Profile - T Insert - Transparent Capping,"Extruded aluminium T shape profile for LED tape installation. Supplied with snap-fit clear cover, end caps and spring clips for setting into walls or ceilings. Ideal for creating flush linear lighting and colour features.",Supplied with spring clips[br]Easy snap-fit clear cover,External cross-section[tab]25 x 20mm[br]Internal cross-section[tab]12.5 x 12.5mm[br]Clear cover visible width[tab]14mm,Length[tab]1m,LYYT,0.24,19/08/2020 16:07,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,100+,11.99,https://www.avsl.com/assets/images/1/5/156921UK_LD1.png,https://www.avsl.com/assets/images/1/5/156921UK_CO1.jpg
156.926UK,AL1-B5712C,Aluminium LED Tape Profile Raised Bar 1m - Clear Diffuser,Aluminium LED Tape Profile - Raised Bar - Transparent Diffuser,"Extruded aluminium arch profile for LED tape installation. Supplied with snap-fit clear diffuser, end caps and clips for mounting onto walls or ceilings. Creates a gently raised bar profile with central light source for subtle lighting or architectural highlights.",Easy snap-fit clear diffuser[br]Creates a gently raised illuminated bar,External cross-section[tab]57 x 12mm[br]Internal cross-section[tab]12 x 7mm[br]Clear cover visible width[tab]17mm,Length[tab]1m,LYYT,0.33,24/02/2023 10:55,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,100+,9.99,https://www.avsl.com/assets/images/1/5/156926UK_LD1.png,https://www.avsl.com/assets/images/1/5/156926UK_CO1.jpg
156.931UK,AL2-F2520C,Aluminium LED Profile T Insert 2m - Clear Cover,Aluminium LED Tape Profile - T Insert - Transparent Capping,"Extruded aluminium T shape profile for LED tape installation. Supplied with snap-fit clear cover, end caps and spring clips for setting into walls or ceilings. Ideal for creating flush linear lighting and colour features.",Supplied with spring clips[br]Easy snap-fit clear cover,External cross-section[tab]25 x 20mm[br]Internal cross-section[tab]12.5 x 12.5mm[br]Clear cover visible width[tab]14mm,Length[tab][br]Length[tab]2m,LYYT,0.48,19/08/2020 16:07,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,10+,24.99,https://www.avsl.com/assets/images/1/5/156931UK_LD1.png,https://www.avsl.com/assets/images/1/5/156931UK_CO1.jpg
156.936UK,AL2-B5712C,Aluminium LED Tape Profile Raised Bar 2m - Clear Diffuser,Aluminium LED Tape Profile - Raised Bar - Transparent Diffuser,"Extruded aluminium arch profile for LED tape installation. Supplied with snap-fit clear diffuser, end caps and clips for mounting onto walls or ceilings. Creates a gently raised bar profile with central light source for subtle lighting or architectural highlights.",Easy snap-fit clear diffuser[br]Creates a gently raised illuminated bar,External cross-section[tab]57 x 12mm[br]Internal cross-section[tab]12 x 7mm[br]Clear cover visible width[tab]17mm,Length[tab]2m,LYYT,0.66,24/02/2023 10:55,1201,"13,647,221,201",LED Tape -> LED Tape Profiles -> Transparent Diffuser,led-tape/led-tape-profiles/transparent-diffuser,100+,19.99,https://www.avsl.com/assets/images/1/5/156936UK_LD1.png,https://www.avsl.com/assets/images/1/5/156936UK_CO1.jpg
156.944UK,,Flush Mount Plaster In 1m,Aluminium LED Tape Profile Flush Mounted Plaster-in,Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. The profiles sink perfectly into the surface creating a seamless modern look. This flush mounted profile requires 1 piece of LED tape measuring 8-12.5mm and is supplied with a white diffuser to give an ambient glow.,"Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]55.5 x 15mm[br]Internal cross-section[tab]15.5 x 12.5mm[br]Diffuser visible width[tab]12.5mm,Length[tab]1m,LYYT,0.55,20/07/2023 7:32,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,8,15.99,https://www.avsl.com/assets/images/1/5/156944UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156944UK_IN1.jpg
156.945UK,,Internal Corner Plaster In 1m,Aluminium LED Tape Profile Internal Corner Plaster-in,"Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. These profiles can be plastered directly into an internal corner and plastered over, creating a seamless modern look. Available in 1m and 2m lengths.","Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]46.7 x 26.5mm[br]Internal cross-section[tab]15 x 12.5mm[br]Diffuser visible width[tab]15.5mm,,LYYT,0.75,17/02/2023 10:17,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,1000+,20.99,https://www.avsl.com/assets/images/1/5/156945UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156945UK_LS1.jpg
156.946UK,,External Corner Plaster In 1m,Aluminium LED Tape Profile External Corner Plaster-in,"Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. These profiles can be plastered directly into an external corner and plastered over, creating a seamless modern look. Available in 1m and 2m lengths.","Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]53.8 x 22.9mm[br]Internal cross-section[tab]15 x 12.5mm[br]Diffuser visible width[tab]15.5mm,,LYYT,0.75,17/02/2023 10:18,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,500+,20.99,https://www.avsl.com/assets/images/1/5/156946UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156946UK_LB1.jpg
156.949UK,,Wide Flush Mount Plaster In 1m,Aluminium LED Tape Profile Wide Flush Mounted Plaster-in,Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. The profiles sink perfectly into the surface creating a seamless modern look. This wide flush mounted profile requires 1 or 2 pieces of LED tape measuring 8-12mm and is supplied with a white diffuser to give an ambient glow.,"Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]76 x 11.5mm[br]Internal cross-section[tab]27 x 11mm[br]Diffuser visible width[tab]27mm,,LYYT,0.67,22/03/2023 12:59,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,100+,24.99,https://www.avsl.com/assets/images/1/5/156949UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156949UK_IN1.jpg
156.954UK,,Flush Mount Plaster In 2m,Aluminium LED Tape Profile Flush Mounted Plaster-in,Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. The profiles sink perfectly into the surface creating a seamless modern look. This flush mounted profile requires 1 piece of LED tape measuring 8-12.5mm and is supplied with a white diffuser to give an ambient glow.,"Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]55.5 x 15mm[br]Internal cross-section[tab]15.5 x 12.5mm[br]Diffuser visible width[tab]12.5mm,Length[tab]2m,LYYT,0.9,20/07/2023 7:32,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,100+,30.99,https://www.avsl.com/assets/images/1/5/156954UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156954UK_LD1.jpg
156.955UK,,Internal Corner Plaster In 2m,Aluminium LED Tape Profile Internal Corner Plaster-in,"Plaster-in LED Tape Profiles offer a premium finish for those looking to build LED lights into a more permanent fixture. These profiles can be plastered directly into an internal corner and plastered over, creating a seamless modern look. Available in 1m and 2m lengths.","Seamless finish for a more permanent fixture[br]Cut to length[br]Easy, snap-fit diffuser[br]3mm lip to allow a good bed of plaster and reduce possibility of cracking[br]Individually packaged in recyclable tube for safe transport and storage",External cross-section[tab]46.7 x 26.5mm[br]Internal cross-section[tab]15 x 12.5mm[br]Diffuser visible width[tab]15.5mm,,LYYT,1.05,17/02/2023 10:17,1204,"13,647,221,204",LED Tape -> LED Tape Profiles -> Plaster In,led-tape/led-tape-profiles/plaster-in,1000+,39.99,https://www.avsl.com/assets/images/1/5/156955UK_CO1.jpg,https://www.avsl.com/assets/images/1/5/156955UK_LB1.jpg
